raw_event_name,target_class,source_json_files,notes
309,0,20260325_151657.json,
alarm,Bell,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260316_162154.json;20260316_162627.json;20260316_164913.json;20260317_122956.json;20260317_133804.json;20260317_145035.json;20260319_112336.json;20260319_114533.json;20260319_120543.json;20260323_162606.json;20260323_214348.json;20260323_220440.json;20260324_141216.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260330_162918.json,
appliance,Machine,20260316_164913.json,
applicance,Machine,20260324_144432.json;20260330_162918.json,
ball,Ball,20260328_105616.json;20260328_114125.json,
bicycle,Vehicle,20260313_123638.json;20260313_173835.json;20260313_175745.json;20260319_120543.json,
bird,Animal,20260324_141216.json;20260324_144432.json;20260324_150523.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260328_105616.json;20260328_130357.json;20260328_132017.json,
black,Printer,20260324_141216.json,
board,Board,20260328_141148.json,
broadcasting,Speech,20260317_133804.json,
cabinet,Door,20260319_114533.json,
cabinet door,Door,20260317_122956.json,
car,Vehicle,20260324_141216.json,
cart,Vehicle,20260317_122956.json,
cat,Animal,20260316_164913.json,
chair,Chair,20260313_121836.json;20260313_130223.json;20260316_164913.json;20260324_141216.json;20260324_150523.json;20260325_151657.json;20260327_175000.json;20260327_192144.json;20260328_141148.json,
close_door,Printer,20260313_173835.json,
close_window,Door,20260313_173835.json,
coffee,Machine,20260327_181800.json;20260327_192144.json;20260328_130357.json;20260328_132017.json,
colorblue,Printer,20260324_141216.json,
cooking,Cooking,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260319_112336.json;20260319_114533.json;20260319_120543.json,
crash,0,20260323_214348.json,
crush,0,20260330_162918.json,
cutting,Cutting,20260330_162918.json,
decoration,Machine,20260316_162154.json,
door,Door,20260316_164913.json;20260316_170139.json;20260316_184510.json;20260317_122956.json;20260324_141216.json;20260324_150523.json;20260324_153442.json;20260327_175000.json;20260327_181800.json,
door_opening,Door,20260317_145035.json,
dustbin,Domestic Sounds,20260313_120110.json;20260313_173835.json;20260313_175745.json;20260319_112336.json;20260319_114533.json;20260319_120543.json,
facemachine,Machine,20260327_181800.json;20260327_192144.json,
farblue,Printer,20260324_141216.json,
female_speech,Female_speech,20260313_121836.json;20260313_173835.json;20260313_175745.json;20260316_162154.json;20260316_162627.json;20260316_164913.json;20260316_170139.json;20260316_172412.json;20260316_184510.json;20260316_191808.json;20260317_122956.json;20260323_162606.json;20260323_165933.json;20260323_220440.json;20260324_141216.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260327_173200.json;20260327_175000.json;20260327_181800.json;20260327_192144.json;20260328_130357.json;20260328_132017.json;20260328_141148.json;20260330_162918.json,
fetch,0,20260317_122956.json,
fetching,0,20260330_162918.json,
footsteps,Footsteps,20260313_120110.json;20260313_121836.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260316_162154.json;20260316_162627.json;20260316_164913.json;20260316_170139.json;20260316_172412.json;20260316_173751.json;20260316_184510.json;20260316_191808.json;20260317_122956.json;20260317_133804.json;20260317_145035.json;20260319_112336.json;20260323_162606.json;20260323_165933.json;20260323_214348.json;20260323_220440.json;20260324_141216.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260327_173200.json;20260327_181800.json;20260327_192144.json;20260328_105616.json;20260328_114125.json;20260328_130357.json;20260328_132017.json;20260328_141148.json;20260330_162918.json,
glass,Glass,20260313_120110.json;20260313_123638.json;20260313_130223.json;20260316_164913.json;20260319_114533.json,
hit,Knock,20260324_153442.json;20260328_105616.json,
human_vocalization,Speech,20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260316_162627.json;20260316_164913.json;20260316_170139.json;20260316_172412.json;20260316_184510.json;20260316_191808.json;20260317_133804.json;20260317_145035.json;20260319_120543.json;20260323_162606.json;20260323_165933.json;20260323_214348.json;20260323_220440.json;20260324_141216.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260327_173200.json;20260327_175000.json;20260327_181800.json;20260327_192144.json;20260328_105616.json;20260328_114125.json;20260328_130357.json;20260328_132017.json;20260328_141148.json;20260330_162918.json,
items,0,20260317_122956.json,
kitchenware,Machine,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_173835.json;20260313_175745.json;20260319_112336.json;20260319_114533.json,
larder,Vehicle,20260324_144432.json,
laughter,Laughter,20260313_175745.json;20260317_122956.json;20260317_133804.json;20260324_153442.json;20260328_105616.json;20260328_130357.json;20260328_132017.json;20260328_141148.json;20260330_162918.json,
machine,Machine,20260313_173835.json;20260316_162154.json;20260316_162627.json;20260316_164913.json;20260316_170139.json;20260316_184510.json;20260316_191808.json;20260317_122956.json;20260317_145035.json;20260323_162606.json;20260323_165933.json;20260323_214348.json;20260323_220440.json;20260324_141216.json;20260324_153442.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260330_162918.json,
